"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 19-Oct-2006",20474.72,18451.59,19990.87,,636.83,573.91,621.79,
"00:00:00 19-Sep-2006",19512.84,18005.21,19041.14,,606.92,560.02,592.25,
"00:00:00 20-Aug-2006",20592.86,18360.97,18899.88,,640.51,571.09,587.85,
"00:00:00 21-Jul-2006",21104.28,19382.47,19710.00,,656.42,602.86,613.05,
"00:00:00 21-Jun-2006",21749.27,18362.89,20171.41,,676.48,571.15,627.40,
"00:00:00 22-May-2006",21684.89,17459.47,18600.68,,674.48,543.05,578.55,
"00:00:00 22-Apr-2006",23458.63,19922.45,21143.95,,729.64,619.66,657.65,
"00:00:00 23-Mar-2006",20749.39,17530.39,20374.46,,645.38,545.26,633.72,
"00:00:00 21-Feb-2006",18342.68,17217.75,17711.23,,570.52,535.53,550.88,
"00:00:00 22-Jan-2006",18479.60,17243.76,17876.40,,574.78,536.34,556.02,
"00:00:00 23-Dec-2005",18244.62,16084.06,17806.48,,567.47,500.27,553.84,
"00:00:00 23-Nov-2005",17370.04,15677.36,16209.33,,540.27,487.62,504.17,
"00:00:00 24-Oct-2005",15905.59,14657.80,15853.37,,494.72,455.91,493.09,
"00:00:00 24-Sep-2005",15441.95,14751.12,15022.69,,480.30,458.81,467.26,
"00:00:00 25-Aug-2005",15261.79,13798.08,14913.38,,474.69,429.17,463.86,
"00:00:00 26-Jul-2005",14465.92,13564.37,14065.36,,449.94,421.90,437.48,
"00:00:00 26-Jun-2005",14174.10,13428.86,13683.84,,440.86,417.68,425.62,
"00:00:00 27-May-2005",14271.85,13297.52,14131.80,,443.90,413.60,439.55,
"00:00:00 27-Apr-2005",14112.64,13393.12,13434.68,,438.95,416.57,417.87,
"00:00:00 28-Mar-2005",14068.57,13567.03,14043.39,,437.58,421.98,436.80,
"00:00:00 26-Feb-2005",14376.14,13639.91,13688.13,,447.15,424.25,425.75,
"00:00:00 27-Jan-2005",14040.16,13197.58,13989.67,,436.70,410.49,435.13,
